"date","city","newDeaths","deaths","newCases","totalCases"
2020-03-12,"Recife",0,0,2,2
2020-03-13,"Recife",0,0,0,2
2020-03-14,"Recife",0,0,4,6
2020-03-15,"Recife",0,0,1,7
2020-03-16,"Recife",0,0,0,7
2020-03-17,"Jaboatão dos Guararapes",0,0,2,2
2020-03-17,"Recife",0,0,6,13
2020-03-18,"Jaboatão dos Guararapes",0,0,-1,1
2020-03-18,"Recife",0,0,1,14
2020-03-19,"Jaboatão dos Guararapes",0,0,0,1
2020-03-19,"Recife",0,0,0,14
2020-03-20,"Jaboatão dos Guararapes",0,0,0,1
2020-03-20,"Recife",0,0,0,14
2020-03-21,"Jaboatão dos Guararapes",0,0,2,3
2020-03-21,"Recife",0,0,11,25
2020-03-22,"Jaboatão dos Guararapes",0,0,0,3
2020-03-22,"Olinda",0,0,1,1
2020-03-22,"Recife",0,0,3,28
2020-03-23,"Jaboatão dos Guararapes",0,0,0,3
2020-03-23,"Olinda",0,0,1,2
2020-03-23,"Recife",0,0,2,30
2020-03-24,"Jaboatão dos Guararapes",0,0,0,3
2020-03-24,"Olinda",0,0,0,2
2020-03-24,"Recife",0,0,0,30
2020-03-25,"Jaboatão dos Guararapes",0,0,0,3
2020-03-25,"Olinda",0,0,1,3
2020-03-25,"Recife",1,1,1,31
2020-03-26,"Jaboatão dos Guararapes",0,0,0,3
2020-03-26,"Olinda",0,0,0,3
2020-03-26,"Recife",1,2,2,33
2020-03-27,"Camaragibe",0,0,1,1
2020-03-27,"Fernando de Noronha",0,0,1,1
2020-03-27,"Jaboatão dos Guararapes",0,0,1,4
2020-03-27,"Olinda",0,0,0,3
2020-03-27,"Recife",1,3,5,38
2020-03-28,"Camaragibe",0,0,0,1
2020-03-28,"Fernando de Noronha",0,0,0,1
2020-03-28,"Jaboatão dos Guararapes",0,0,1,5
2020-03-28,"Olinda",0,0,1,4
2020-03-28,"Recife",1,4,8,46
2020-03-28,"São Lourenço da Mata",0,0,1,1
2020-03-29,"Camaragibe",0,0,0,1
2020-03-29,"Fernando de Noronha",0,0,0,1
2020-03-29,"Jaboatão dos Guararapes",0,0,1,6
2020-03-29,"Olinda",0,0,0,4
2020-03-29,"Recife",0,4,4,50
2020-03-29,"São Lourenço da Mata",0,0,0,1
2020-03-30,"Camaragibe",0,0,0,1
2020-03-30,"Fernando de Noronha",0,0,0,1
2020-03-30,"Jaboatão dos Guararapes",0,0,0,6
2020-03-30,"Olinda",0,0,1,5
2020-03-30,"Recife",0,4,2,52
2020-03-30,"São Lourenço da Mata",0,0,0,1
2020-03-31,"Camaragibe",0,0,0,1
2020-03-31,"Fernando de Noronha",0,0,1,2
2020-03-31,"Jaboatão dos Guararapes",0,0,0,6
2020-03-31,"Olinda",0,0,0,5
2020-03-31,"Recife",0,4,6,58
2020-03-31,"São Lourenço da Mata",0,0,2,3
2020-04-01,"Camaragibe",0,0,1,2
2020-04-01,"Fernando de Noronha",0,0,0,2
2020-04-01,"Jaboatão dos Guararapes",0,0,0,6
2020-04-01,"Olinda",1,1,0,5
2020-04-01,"Recife",1,5,6,64
2020-04-01,"São Lourenço da Mata",0,0,0,3
2020-04-02,"Camaragibe",0,0,0,2
2020-04-02,"Fernando de Noronha",0,0,0,2
2020-04-02,"Jaboatão dos Guararapes",0,0,1,7
2020-04-02,"Olinda",0,1,0,5
2020-04-02,"Recife",1,6,10,74
2020-04-02,"São Lourenço da Mata",0,0,0,3
2020-04-03,"Cabo de Santo Agostinho",1,1,2,2
2020-04-03,"Camaragibe",0,0,2,4
2020-04-03,"Fernando de Noronha",0,0,3,5
2020-04-03,"Jaboatão dos Guararapes",0,0,1,8
2020-04-03,"Olinda",0,1,1,6
2020-04-03,"Paulista",0,0,3,3
2020-04-03,"Recife",0,6,18,92
2020-04-03,"São Lourenço da Mata",0,0,0,3
2020-04-04,"Cabo de Santo Agostinho",0,1,2,4
2020-04-04,"Camaragibe",0,0,2,6
2020-04-04,"Fernando de Noronha",0,0,2,7
2020-04-04,"Jaboatão dos Guararapes",0,0,3,11
2020-04-04,"Olinda",0,1,2,8
2020-04-04,"Paulista",0,0,0,3
2020-04-04,"Recife",4,10,27,119
2020-04-04,"São Lourenço da Mata",0,0,0,3
2020-04-05,"Cabo de Santo Agostinho",0,1,1,5
2020-04-05,"Camaragibe",0,0,0,6
2020-04-05,"Fernando de Noronha",0,0,0,7
2020-04-05,"Jaboatão dos Guararapes",0,0,1,12
2020-04-05,"Olinda",2,3,1,9
2020-04-05,"Paulista",0,0,2,5
2020-04-05,"Recife",4,14,20,139
2020-04-05,"São Lourenço da Mata",0,0,0,3
2020-04-06,"Cabo de Santo Agostinho",0,1,0,5
2020-04-06,"Camaragibe",1,1,1,7
2020-04-06,"Fernando de Noronha",0,0,0,7
2020-04-06,"Jaboatão dos Guararapes",1,1,3,15
2020-04-06,"Olinda",0,3,2,11
2020-04-06,"Paulista",0,0,0,5
2020-04-06,"Recife",2,16,7,146
2020-04-06,"São Lourenço da Mata",3,3,4,7
2020-04-07,"Cabo de Santo Agostinho",0,1,1,6
2020-04-07,"Camaragibe",0,1,3,10
2020-04-07,"Fernando de Noronha",0,0,7,14
2020-04-07,"Igarassu",0,0,1,1
2020-04-07,"Jaboatão dos Guararapes",0,1,9,24
2020-04-07,"Moreno",0,0,2,2
2020-04-07,"Olinda",0,3,7,18
2020-04-07,"Paulista",0,0,3,8
2020-04-07,"Recife",2,18,75,221
2020-04-07,"São Lourenço da Mata",0,3,7,14
2020-04-07,"Vitória de Santo Antão",0,0,3,3
2020-04-08,"Cabo de Santo Agostinho",1,2,2,8
2020-04-08,"Camaragibe",1,2,3,13
2020-04-08,"Fernando de Noronha",0,0,0,14
2020-04-08,"Igarassu",0,0,0,1
2020-04-08,"Jaboatão dos Guararapes",1,2,2,26
2020-04-08,"Moreno",0,0,0,2
2020-04-08,"Olinda",2,5,3,21
2020-04-08,"Paulista",0,0,1,9
2020-04-08,"Recife",3,21,33,254
2020-04-08,"São Lourenço da Mata",2,5,1,15
2020-04-08,"Vitória de Santo Antão",0,0,0,3
2020-04-09,"Abreu e Lima",0,0,1,1
2020-04-09,"Cabo de Santo Agostinho",2,4,4,12
2020-04-09,"Camaragibe",0,2,7,20
2020-04-09,"Fernando de Noronha",0,0,0,14
2020-04-09,"Igarassu",0,0,0,1
